url,method,roles
/api/doc/basic_project,GET,CSR_LEAD;CSR;LEAD;VOLUNTEER;FINANCIER;ADMIN
/api/doc/basic_project/[a-f0-9]{24},GET,CSR_LEAD;CSR;LEAD;VOLUNTEER;FINANCIER
/api/doc/finished/project/info/[a-f0-9]{24},GET,CSR_LEAD;CSR;LEAD
/api/doc/finished/project/[a-f0-9]{24},GET,CSR_LEAD;CSR;LEAD
/api/doc/preparing/project/[a-f0-9]{24},GET,CSR_LEAD;CSR;LEAD
/api/doc/preparing/project/info,POST,CSR_LEAD;LEAD
/api/doc/preparing/project/investigation/[a-f0-9]{24},GET,CSR_LEAD;CSR;LEAD
/api/doc/preparing/project/investigation/[a-f0-9]{24},POST,CSR_LEAD;LEAD
/api/doc/(preparing|archived)/project/investigation/hotel/[a-f0-9]{24},GET,CSR_LEAD;CSR;LEAD
/api/doc/(preparing|archived)/project/investigation/hotel/.*,GET,CSR_LEAD;CSR;LEAD
/api/doc/preparing/project/investigation/hotel/.*,POST,CSR_LEAD;LEAD
/api/doc/(preparing|archived)/project/investigation/hospital/[a-f0-9]{24},GET,CSR_LEAD;CSR;LEAD
/api/doc/(preparing|archived)/project/investigation/hospital/.*,GET,CSR_LEAD;CSR;LEAD
/api/doc/preparing/project/investigation/hospital/.*,POST,CSR_LEAD;LEAD
/api/doc/(preparing|archived)/project/investigation/record/[a-f0-9]{24},GET,CSR_LEAD;CSR;LEAD
/api/doc/preparing/project/investigation/record/.*,POST,CSR_LEAD;LEAD
/api/doc/(proceeding|archived)/project/team_contact/[a-f0-9]{24},GET,CSR_LEAD;CSR;LEAD;VOLUNTEER
/api/doc/proceeding/project/project_schedule/[a-f0-9]{24},GET,CSR_LEAD;CSR;LEAD;VOLUNTEER
/api/doc/proceeding/project/project_schedule/[a-f0-9]{24},POST,CSR_LEAD;CSR
/api/doc/proceeding/project/project_progress/[a-f0-9]{24},GET,CSR_LEAD;CSR;LEAD;VOLUNTEER
/api/doc/proceeding/project/project_progress/[a-f0-9]{24},POST,CSR_LEAD;CSR
/api/doc/proceeding/project/patient_info/[a-f0-9]{24},GET,CSR_LEAD;CSR;LEAD;VOLUNTEER
/api/doc/proceeding/project/patient_info/[a-f0-9]{24},POST,CSR_LEAD;CSR;LEAD;VOLUNTEER
/api/doc/proceeding/project/team_contact/[a-f0-9]{24},GET,CSR_LEAD;CSR;LEAD;VOLUNTEER
/api/doc/proceeding/project/project_schedule/[a-f0-9]{24},GET,CSR_LEAD;CSR;LEAD;VOLUNTEER
/api/doc/proceeding/project/project_schedule/[a-f0-9]{24},POST,CSR_LEAD;CSR
/api/doc/proceeding/project/project_progress/[a-f0-9]{24},GET,CSR_LEAD;CSR;LEAD;VOLUNTEER
/api/doc/proceeding/project/project_progress/[a-f0-9]{24},POST,CSR_LEAD;CSR
/api/doc/proceeding/project/patient_info/[a-f0-9]{24},GET,CSR_LEAD;CSR;LEAD;VOLUNTEER
/api/doc/proceeding/project/patient_info/.*,POST,CSR_LEAD;CSR;LEAD;VOLUNTEER
/api/doc/archived/project/feedback/[a-f0-9]{24},POST,CSR_LEAD;CSR;LEAD;VOLUNTEER
/api/doc/archived/project/experience/[a-f0-9]{24},GET,CSR_LEAD;CSR
/api/doc/archived/project/experience/.*,POST,CSR_LEAD;CSR
/api/doc/archived/project/feedback/[a-f0-9]{24},GET,CSR_LEAD;CSR;LEAD
/api/doc/archived/project/feedback/.*,POST,CSR_LEAD;CSR;LEAD
/api/doc/archived/project/feedback/.*,DELETE,CSR_LEAD;CSR;LEAD
/api/doc/archived/project/cured/[a-f0-9]{24},GET,CSR_LEAD;CSR;LEAD
/api/doc/archived/project/cured/.*,POST,CSR_LEAD;CSR;LEAD
/api/doc/archived/project/cured/.*,DELETE,CSR_LEAD;CSR;LEAD
/api/doc/archived/project/sroi/[a-f0-9]{24},POST,CSR_LEAD;CSR
/api/doc/archived/project/sroi/[a-f0-9]{24},GET,CSR_LEAD;CSR;LEAD
/api/doc/(finished|preparing|proceeding|archived)/project/finance/[a-f0-9]{24},POST,CSR;FINANCIER;CSR_LEAD;LEAD
/api/doc/(finished|preparing|proceeding|archived)/project/status/[a-f0-9]{24},POST,CSR_LEAD
/api/doc/(finished|preparing|proceeding|archived)/project/info,GET,CSR_LEAD;CSR;LEAD
/api/doc/(finished|preparing|proceeding|archived)/project/info/[a-f0-9]{24},POST,CSR_LEAD;CSR
/api/doc/(finished|preparing|proceeding|archived)/project/check_before_operation/[a-f0-9]{24},GET,CSR_LEAD;CSR;LEAD
/api/doc/(finished|preparing|proceeding|archived)/project/check_before_operation/[a-f0-9]{24},POST,CSR_LEAD;CSR
/api/doc/(finished|preparing|proceeding|archived)/project/participant/.*,GET,CSR_LEAD;CSR;LEAD
/api/doc/(finished|preparing|proceeding|archived)/project/participant/.*,POST,CSR_LEAD;CSR;LEAD
/api/doc/(finished|preparing|proceeding|archived)/project/launch_ceremony/[a-f0-9]{24},GET,CSR_LEAD;CSR;LEAD
/api/doc/(finished|preparing|proceeding|archived)/project/launch_ceremony/[a-f0-9]{24},POST,CSR_LEAD;CSR



